PedidoID,CategoriaID,CategoriaNome,CategoriaDescrição,ClienteID,ClienteNome,ClienteContato,ClienteCidade,ClientePaísID,ClientePaís,Vendas Custo,Margem Bruta,Vendas,Desconto,Frete,Qtde,Data,VendedorID,ProdutoID,ProdutoNome,TransportadoraID,FornecedorID
10450,3,Sportwear,Sports…,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,174.973,78.611,253.584,42.264,39.15,6,28/08/2010,5,54,Patamonia Fleece Jacket,1,25
10850,3,Sportwear,Sports…,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,2.441.376,741.824,318.32,41.52,58.8,20,28/11/2011,4,25,Basket Vest,1,11
10814,3,Sportwear,Sports…,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,659.745,276.93,936.675,122.175,76.36,30,10/11/2011,4,61,Adihash Running Shoe,1,29
10546,3,Sportwear,Sports…,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,956.124,224.276,1180.4,0,37.46,40,27/02/2010,4,62,Sheat Shoes,1,29
10546,4,Bath Clothes,Beachwear,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,147.258,34.542,181.8,0,37.46,30,27/02/2010,4,35,LA. Shorts,1,16
10814,4,Bath Clothes,Beachwear,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,199.584,83.776,283.36,36.96,76.36,20,10/11/2011,4,43,Summer Shorts,1,20
10459,4,Bath Clothes,Beachwear,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,4.242.672,881.328,512.4,0,26.28,40,02/03/2011,5,72,Rossi Shorts,1,14
10334,5,Ladies´Footwear,Ladies Shoes,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,5.029.171,791.629,582.08,0,41.01,8,26/05/2011,5,52,Small Crocodile Boots,1,24
10814,6,Men´s Footwear,Men Shoes,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,214.488,90.032,304.52,39.72,76.36,8,10/11/2011,4,48,Root Boot,1,22
10843,6,Men´s Footwear,Men Shoes,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,3.341.722,1.394.278,473.6,94.72,46.32,4,26/11/2011,4,51,Snake Boots,1,24
10806,7,Children´s wear,3-15 Years,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,3.502.845,190.278,5.405.625,1.081.125,38.16,15,05/11/2012,4,74,Nikee Running Shoes,1,4
10546,7,Children´s wear,3-15 Years,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,352.026,82.574,434.6,0,37.46,10,27/02/2010,4,7,Conserve Shoes,1,3
10459,7,Children´s wear,3-15 Years,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,5.172.019,1.386.701,655.872,31.232,26.28,16,02/03/2011,5,7,Conserve Shoes,1,3
10478,8,Babywear,0-3 Years,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,109.296,29.304,138.6,6.6,28.49,20,24/09/2010,4,10,Sapporoo Gloves,1,4
10450,8,Babywear,0-3 Years,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,1.274.957,558.643,183.36,30.56,39.15,20,28/08/2010,5,10,Sapporoo Gloves,1,4
10814,8,Babywear,0-3 Years,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,143.856,33.744,177.6,0,76.36,20,10/11/2011,4,41,Duck Shirt,1,19
10459,8,Babywear,0-3 Years,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,1.983.888,531.912,251.58,11.98,26.28,20,02/03/2011,5,46,Rodbye Troje,1,21
10785,1,Men´s Clothes,Fashion for Men,33,El Abrigo Mortal,Antonio Palmer Amer,Caracas,VEN,Venezuela,65.124,15.276,80.4,0,60.35,10,23/10/2011,9,75,Bow tie,2,12
10984,1,Men´s Clothes,Fashion for Men,33,El Abrigo Mortal,Antonio Palmer Amer,Caracas,VEN,Venezuela,818.496,10.9504,92.8,0,31.11,20,04/04/2012,3,24,Samba Socker  Socks,2,10
10984,3,Sportwear,Sports…,33,El Abrigo Mortal,Antonio Palmer Amer,Caracas,VEN,Venezuela,4.875.255,652.245,552.75,0,31.11,55,04/04/2012,3,16,Wimbledon T-Shirt,2,7
10268,4,Bath Clothes,Beachwear,33,El Abrigo Mortal,Antonio Palmer Amer,Caracas,VEN,Venezuela,436.838,6.8762,50.56,0,69.28,4,05/06/2009,3,72,Rossi Shorts,2,14
10268,6,Men´s Footwear,Men Shoes,33,El Abrigo Mortal,Antonio Palmer Amer,Caracas,VEN,Venezuela,1.013.472,159.528,1173,0,69.28,10,05/06/2009,3,29,Davenport,2,12
10785,8,Babywear,0-3 Years,33,El Abrigo Mortal,Antonio Palmer Amer,Caracas,VEN,Venezuela,52.002,12.198,64.2,0,60.35,10,23/10/2011,9,10,Sapporoo Gloves,2,4
10984,8,Babywear,0-3 Years,33,El Abrigo Mortal,Antonio Palmer Amer,Caracas,VEN,Venezuela,3.158.472,341.528,350,0,31.11,40,04/04/2012,3,36,Mehmet-Tröja,2,17
10520,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,310.003,6.4397,37.44,0,31.78,8,04/07/2011,3,24,Samba Socker  Socks,2,10
10722,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,473.121,11.0979,58.41,0,71.33,3,03/04/2011,9,2,Mr X Trousers,2,1
10312,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,659.232,10.3768,76.3,0,76.68,10,26/02/2011,3,75,Bow tie,2,12
11003,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,67.032,8.968,76,0,28.52,4,10/02/2012,3,1,Lenin Jeansshorts,2,1
10309,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,771.379,12.1421,89.28,0,71.58,3,22/01/2011,3,71,Atles Lussekofta,2,15
10695,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,79.704,18.696,98.4,0,40.99,20,12/04/2011,9,24,Samba Socker  Socks,2,10
10355,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,100.656,15.844,116.5,0,75.77,25,19/02/2012,3,24,Samba Socker  Socks,2,10
10946,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,1.020.915,136.585,115.75,0,47.58,25,18/07/2012,9,24,Samba Socker  Socks,2,10
11000,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,1.148.364,479.136,162.75,32.55,77.16,30,11/04/2012,3,24,Samba Socker  Socks,2,10
10335,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,1.179.965,458.875,163.884,27.314,46.91,7,25/02/2011,9,2,Mr X Trousers,2,1
10736,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,122.31,28.69,151,0,63.69,20,16/09/2011,9,75,Bow tie,2,12
10517,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,1.544.551,320.849,186.54,0,37.44,6,30/08/2010,9,70,US-Master Jeans,2,7
10420,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,2.077.949,682.611,276.056,25.096,79.18,8,26/11/2011,9,70,US-Master Jeans,2,7
10646,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,2.363.175,128.37,3.646.875,729.375,58.82,15,01/09/2011,3,1,Lenin Jeansshorts,2,1
10722,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,2.503.872,587.328,309.12,0,71.33,42,03/04/2011,9,75,Bow tie,2,12
10701,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,520.992,218.688,739.68,96.48,34.44,20,18/08/2011,9,71,Atles Lussekofta,2,15
10298,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,6.061.824,954.176,701.6,0,78.52,40,12/07/2009,2,2,Mr X Trousers,2,1
10380,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,674.406,140.094,814.5,0,77.11,30,22/10/2012,9,70,US-Master Jeans,2,7
10646,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,729,396,1125,225,58.82,30,01/09/2011,3,71,Atles Lussekofta,2,15
10440,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,7.533.972,2.929.878,1.046.385,136.485,73.65,45,14/01/2010,3,2,Mr X Trousers,2,1
10442,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,7.610.976,1.581.024,919.2,0,23.33,30,15/01/2010,3,11,Desperado Jeans,2,5
10912,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,899.64,375.36,1275,255,59.74,40,01/07/2012,3,11,Desperado Jeans,2,5
10800,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,1178.55,421.95,1600.5,145.5,51.05,50,31/10/2012,9,11,Desperado Jeans,2,5
10458,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,1.243.656,258.344,1502,0,63.98,50,01/03/2012,9,71,Atles Lussekofta,2,15
10373,1,Men´s Clothes,Fashion for Men,37,Boleros,Robert Bolero,Cork,IRL,Ireland,1.373.328,534.072,1907.4,317.9,25.5,50,10/10/2012,9,71,Atles Lussekofta,2,15
10309,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,956.448,150.552,110.7,0,71.58,30,22/01/2011,3,6,Shagall Socks,2,3
10695,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,147.42,34.58,182,0,40.99,10,12/04/2011,9,8,Tuxedo,2,3
10712,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,1.489.353,365.997,185.535,8.835,23.09,3,26/08/2011,3,53,Jumpin Jack Flash Dress,2,24
10661,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,1.594.809,767.871,236.268,39.378,63.6,3,15/07/2011,3,39,Terence Top,2,18
10503,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,1.811.092,162.908,197.4,0,29.87,20,17/04/2010,3,65,Stretch oui-pants,2,2
10520,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,235.566,48.934,284.5,0,31.78,5,04/07/2011,3,53,Jumpin Jack Flash Dress,2,24
10736,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,302.94,71.06,374,0,63.69,40,16/09/2011,9,65,Stretch oui-pants,2,2
10742,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,319.14,74.86,394,0,37.65,20,17/02/2011,3,3,Chantell Shirt,2,1
11000,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,3.286.332,439.668,372.6,0,77.16,30,11/04/2012,3,77,Skirt,2,12
10646,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,3.733.695,202.818,5.761.875,1.152.375,58.82,35,01/09/2011,3,77,Skirt,2,12
10309,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,3.739.392,588.608,432.8,0,71.58,20,22/01/2011,3,4,Oyaki Kimono,2,2
11000,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,4.495.995,187.588,6.371.875,1.274.375,77.16,25,11/04/2012,3,4,Oyaki Kimono,2,2
10946,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,4.829.832,646.168,547.6,0,47.58,40,18/07/2012,9,77,Skirt,2,12
10429,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,630.315,3.212.475,9.515.625,1.903.125,48.41,35,05/03/2010,9,63,Serve-Shirt,2,7
11034,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,7.757.014,1.037.786,879.48,0,54.81,12,24/02/2012,9,44,Okkaba Skin Jackets,2,20
10442,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,9.677.664,2.010.336,1168.8,0,23.33,60,15/01/2010,3,66,Langoste Shirt,2,2
10380,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,10.533.888,2.877.312,1341.12,121.92,77.11,20,22/10/2012,9,53,Jumpin Jack Flash Dress,2,24
10312,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,10.926.144,1.719.856,1264.6,0,76.68,20,26/02/2011,3,53,Jumpin Jack Flash Dress,2,24
10388,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,20.796.048,4.319.952,2511.6,0,44.7,40,25/06/2010,3,53,Jumpin Jack Flash Dress,2,24
10701,2,Womens wear,Fashion for Women,37,Boleros,Robert Bolero,Cork,IRL,Ireland,10.182.186,42.740.041,144.561.901,18.855.901,34.44,35,18/08/2011,9,76,Minnki Pälsii,2,23
10380,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,248.832,6.7968,31.68,2.88,77.11,6,22/10/2012,9,60,Game Over T-Shirt,2,28
10517,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,274.896,5.7104,33.2,0,37.44,4,30/08/2010,9,59,Rasta WCT,2,28
10350,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,284.602,7.7738,36.234,3.294,67.66,18,17/10/2009,3,69,Racing Truck  Socks,2,15
10519,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,423.108,11.3442,53.655,2.555,43.11,10,24/10/2010,9,60,Game Over T-Shirt,2,28
10651,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,948.332,424.168,137.25,27.45,59.87,12,07/07/2011,9,19,Squash Shorts,2,8
11034,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,1.283.839,171.761,145.56,0,54.81,6,24/02/2012,9,61,Adihash Running Shoe,2,29
11034,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,1.434.132,354.468,178.86,16.26,54.81,15,24/02/2012,9,21,Basket Shoes,2,8
10800,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,1.834.245,656.705,249.095,22.645,51.05,7,31/10/2012,9,54,Patamonia Fleece Jacket,2,25
10350,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,2.137.104,583.746,272.085,24.735,67.66,15,17/10/2009,3,50,Finnish Swimsuit,2,23
10742,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,216.675,50.825,267.5,0,37.65,50,17/02/2011,3,60,Game Over T-Shirt,2,28
10298,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,237.168,105.957,343.125,68.625,78.52,30,12/07/2009,2,59,Rasta WCT,2,28
10751,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,243.324,87.116,330.44,30.04,31.69,20,29/04/2011,3,50,Finnish Swimsuit,2,23
10567,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,2.618.772,1.250.028,386.88,64.48,40.24,40,07/04/2010,9,59,Rasta WCT,2,28
10751,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,2.961.684,1.060.356,402.204,36.564,31.69,12,29/04/2011,3,26,Bike Helmet,2,11
10701,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,2.963.142,1.243.788,420.693,54.873,34.44,42,18/08/2011,9,59,Rasta WCT,2,28
10985,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,2.978.338,736.142,371.448,33.768,72.53,36,04/04/2012,9,16,Wimbledon T-Shirt,2,7
10815,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,3.623.616,849.984,447.36,0,45.86,16,10/11/2011,3,33,Car Boots,2,15
10298,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,362.88,57.12,420,0,78.52,15,12/07/2009,2,62,Sheat Shoes,2,29
10440,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,3.748.853,1.457.887,520.674,67.914,73.65,49,14/01/2010,3,16,Wimbledon T-Shirt,2,7
10722,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,4.324.704,953.796,527.85,0,71.33,45,03/04/2011,9,68,Cap,2,8
10415,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,4.648.058,519.942,516.8,0,29.01,20,21/11/2009,3,33,Car Boots,2,15
10271,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,4.989.082,785.318,577.44,0,62.31,24,18/10/2009,2,33,Car Boots,2,15
10429,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,568.008,117.992,686,0,48.41,40,05/03/2010,9,50,Finnish Swimsuit,2,23
10678,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,612.36,143.64,756,0,76.87,30,29/11/2010,9,33,Car Boots,2,15
10458,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,7.007.364,1.455.636,846.3,0,63.98,30,01/03/2012,9,26,Bike Helmet,2,11
10678,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,870.183,204.117,1074.3,0,76.87,30,29/11/2010,9,54,Patamonia Fleece Jacket,2,25
11002,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,15.811.526,1.080.474,1689.2,0,43.9,40,12/12/2011,9,55,Feiss Fleece Trousers,2,25
10440,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,1.933.794,752.031,2.685.825,350.325,73.65,90,14/01/2010,3,61,Adihash Running Shoe,2,29
10442,3,Sportwear,Sports…,37,Boleros,Robert Bolero,Cork,IRL,Ireland,24.124.608,5.011.392,2913.6,0,23.33,80,15/01/2010,3,54,Patamonia Fleece Jacket,2,25
10695,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,318.168,7.4632,39.28,0,40.99,4,12/04/2011,9,12,Tiny Winy Hot Bikini,2,5
11002,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,76.734,23.316,100.05,13.05,43.9,15,12/12/2011,9,35,LA. Shorts,2,16
10335,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,966.298,375.782,134.208,22.368,46.91,6,25/02/2011,9,32,Rossi Bikkini,2,14
10335,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,183.168,71.232,254.4,42.4,46.91,25,25/02/2011,9,31,Rossi Bermuda Shorts,2,14
10309,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,2.051.136,322.864,237.4,0,71.58,20,22/01/2011,3,43,Summer Shorts,2,20
11063,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,2.132.676,285.324,241.8,0,75.08,30,05/03/2012,3,34,Baywatch Bikkini,2,16
10458,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,2.178.839,349.161,252.8,0,63.98,20,01/03/2012,9,43,Summer Shorts,2,20
10312,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,271.849,42.791,314.64,0,76.68,24,26/02/2011,3,43,Summer Shorts,2,20
10722,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,317.925,74.575,392.5,0,71.33,50,03/04/2011,9,31,Rossi Bermuda Shorts,2,14
10742,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,3.446.742,490.758,393.75,0,37.65,35,17/02/2011,3,72,Rossi Shorts,2,14
10567,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,421.362,202.878,624.24,104.04,40.24,60,07/04/2010,9,31,Rossi Bermuda Shorts,2,14
10985,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,6.337.611,1.566.439,790.405,71.855,72.53,35,04/04/2012,9,32,Rossi Bikkini,2,14
10678,4,Bath Clothes,Beachwear,37,Boleros,Robert Bolero,Cork,IRL,Ireland,777.6,182.4,960,0,76.87,100,29/11/2010,9,12,Tiny Winy Hot Bikini,2,5
10309,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,235.354,3.7046,27.24,0,71.58,2,22/01/2011,3,42,Balett Shoes,2,20
10651,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,57.51,31.24,88.75,17.75,59.87,20,07/07/2011,9,22,Ravellis Träskor,2,9
10470,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,1.106.622,229.878,133.65,0,72.95,15,15/01/2010,3,23,DSW,2,9
10470,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,2.410.474,500.726,291.12,0,72.95,8,15/01/2010,3,64,WFS shoes,2,12
10516,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,2.613.874,300.126,291.4,0,78.18,20,30/05/2010,9,42,Balett Shoes,2,20
11002,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,2.744.617,804.743,354.936,46.296,43.9,24,12/12/2011,9,42,Balett Shoes,2,20
10355,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,382.32,60.18,442.5,0,75.77,25,19/02/2012,3,57,Burned Rubber Shoes,2,26
10517,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,4.247.143,882.257,512.94,0,37.44,6,30/08/2010,9,52,Small Crocodile Boots,2,24
10458,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,5.007.744,1.040.256,604.8,0,63.98,15,01/03/2012,9,56,High Heels Shoes,2,26
10301,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,6.768.576,1.065.424,783.4,0,21.92,20,15/07/2011,9,56,High Heels Shoes,2,26
10346,5,Ladies´Footwear,Ladies Shoes,37,Boleros,Robert Bolero,Cork,IRL,Ireland,7.000.128,1.101.872,810.2,0,23.56,20,10/09/2011,9,56,High Heels Shoes,2,26
